vistoria_id,data,tecnico,regiao,tipo,conforme,causa,multa_valor,checklist_score,tempo_minutos,reincidencia,equipamento
1001,2025-08-22,tec_04,Norte,instalacao,False,identificacao_porta,487.46,0.35,154,False,ONU
1002,2025-10-21,tec_12,Centro,auditoria,True,,0.0,0.96,83,False,ROTEADOR
1003,2025-12-20,tec_04,Oeste,instalacao,True,,0.0,0.82,57,False,CABO
1004,2026-01-10,tec_02,Norte,auditoria,True,,0.0,0.9,90,False,CABO
1005,2025-11-26,tec_11,Sul,instalacao,True,,0.0,0.96,59,False,ONU
1006,2026-06-25,tec_04,Leste,reparo,False,identificacao_porta,0.0,0.64,110,False,ROTEADOR
1007,2026-06-16,tec_12,Leste,auditoria,False,sobra_fibra,0.0,0.33,141,False,ROTEADOR
1008,2026-06-01,tec_12,Sul,auditoria,False,identificacao_porta,698.0,0.65,158,False,ONU
1009,2025-09-09,tec_07,Centro,auditoria,True,,0.0,0.73,42,False,ONU
1010,2026-01-12,tec_10,Sul,reparo,True,,0.0,0.79,70,False,ONU
1011,2025-11-14,tec_11,Norte,instalacao,True,,0.0,0.8,45,False,CABO
1012,2026-05-17,tec_09,Leste,instalacao,False,identificacao_porta,0.0,0.63,159,False,CABO
1013,2025-08-27,tec_06,Centro,auditoria,True,,0.0,0.95,54,False,ROTEADOR
1014,2025-08-05,tec_02,Sul,instalacao,True,,0.0,0.76,77,False,ROTEADOR
1015,2025-10-17,tec_10,Centro,auditoria,True,,0.0,0.91,80,False,ONU
1016,2025-10-24,tec_08,Leste,auditoria,True,,0.0,0.88,72,False,ONU
1017,2025-07-17,tec_04,Norte,instalacao,True,,0.0,0.79,77,False,ONU
1018,2026-02-28,tec_10,Centro,auditoria,True,,0.0,0.75,62,False,ROTEADOR
1019,2026-05-27,tec_01,Oeste,auditoria,True,,0.0,0.82,90,False,ROTEADOR
1020,2025-11-20,tec_03,Sul,reparo,False,sobra_fibra,0.0,0.34,102,True,ONU
1021,2026-03-06,tec_04,Centro,instalacao,False,identificacao_porta,556.17,0.8,190,False,ONU
1022,2026-03-07,tec_09,Leste,auditoria,True,,0.0,0.99,72,False,ROTEADOR
1023,2026-03-15,tec_01,Norte,instalacao,True,,0.0,0.74,67,False,ROTEADOR
1024,2026-01-23,tec_11,Sul,instalacao,False,vedacao_cto,0.0,0.44,143,False,CABO
1025,2025-12-08,tec_04,Centro,reparo,True,,0.0,0.91,54,False,ROTEADOR
1026,2025-08-07,tec_10,Norte,auditoria,True,,0.0,0.76,57,False,CABO
1027,2026-06-26,tec_08,Sul,instalacao,False,vedacao_cto,0.0,0.74,160,False,ROTEADOR
1028,2025-08-24,tec_05,Norte,instalacao,True,,0.0,0.8,48,False,ONU
1029,2025-07-27,tec_09,Sul,reparo,True,,0.0,0.8,35,False,ROTEADOR
1030,2026-04-09,tec_03,Sul,reparo,True,,0.0,0.75,79,False,ROTEADOR
1031,2026-02-06,tec_10,Centro,reparo,True,,0.0,0.97,85,False,ROTEADOR
1032,2025-08-22,tec_11,Norte,instalacao,True,,0.0,0.96,74,False,ONU
1033,2025-12-18,tec_07,Sul,instalacao,True,,0.0,0.91,82,False,ONU
1034,2025-07-20,tec_02,Leste,auditoria,True,,0.0,0.95,64,False,ONU
1035,2025-11-20,tec_04,Sul,auditoria,False,vedacao_cto,692.46,0.45,158,False,ONU
1036,2025-11-13,tec_03,Norte,reparo,True,,0.0,0.82,85,False,ROTEADOR
1037,2025-10-06,tec_07,Centro,instalacao,True,,0.0,0.72,86,False,CABO
1038,2026-05-16,tec_11,Sul,instalacao,False,identificacao_porta,563.36,0.7,141,False,CABO
1039,2026-06-12,tec_11,Centro,reparo,True,,0.0,0.88,60,False,CABO
1040,2026-05-07,tec_07,Norte,instalacao,True,,0.0,0.84,48,False,ROTEADOR
1041,2026-05-14,tec_09,Sul,reparo,False,ancoragem_cabo,259.74,0.71,93,True,ROTEADOR
1042,2026-05-19,tec_08,Oeste,instalacao,True,,0.0,0.83,60,False,ONU
1043,2026-06-22,tec_07,Norte,instalacao,True,,0.0,0.79,89,False,ONU
1045,2026-02-16,tec_12,Centro,instalacao,True,,0.0,0.9,84,False,CABO
1047,2026-01-29,tec_12,Sul,instalacao,True,,0.0,0.84,48,False,ONU
1048,2026-04-21,tec_12,Oeste,auditoria,True,,0.0,0.82,83,False,ONU
1049,2025-10-21,tec_09,Oeste,auditoria,True,,0.0,0.86,59,False,ROTEADOR
1050,2026-03-31,tec_03,Oeste,reparo,True,,0.0,0.88,36,False,CABO
1051,2026-01-11,tec_03,Oeste,reparo,True,,0.0,0.81,59,False,ONU
1052,2026-04-03,tec_08,Oeste,instalacao,False,identificacao_porta,0.0,0.42,95,False,ONU
1053,2025-09-03,tec_10,Sul,instalacao,True,,0.0,0.99,64,False,ONU
1054,2025-09-22,tec_12,Leste,auditoria,True,,0.0,0.73,54,False,ROTEADOR
1055,2026-06-19,tec_04,Oeste,auditoria,True,,0.0,0.92,54,False,ONU
1056,2026-02-05,tec_01,Centro,auditoria,True,,0.0,0.9,35,False,ONU
1057,2026-02-21,tec_11,Oeste,reparo,True,,0.0,0.93,76,False,CABO
1058,2026-04-30,tec_07,Centro,reparo,False,identificacao_porta,0.0,0.76,121,False,ROTEADOR
1059,2025-12-14,tec_06,Centro,reparo,True,,0.0,0.94,56,False,ONU
1060,2025-10-06,tec_09,Centro,reparo,False,ancoragem_cabo,0.0,0.57,172,False,ONU
1061,2026-06-20,tec_05,Oeste,instalacao,True,,0.0,0.82,70,False,ONU
1062,2026-02-18,tec_06,Oeste,auditoria,True,,0.0,0.75,47,False,ONU
1063,2026-03-05,tec_03,Centro,auditoria,False,vedacao_cto,0.0,0.72,196,True,ONU
1064,2025-09-03,tec_01,Sul,reparo,False,ancoragem_cabo,460.54,0.6,152,True,ROTEADOR
1065,2025-10-03,tec_08,Norte,reparo,True,,0.0,0.96,42,False,ONU
1066,2025-09-16,tec_11,Oeste,auditoria,True,,0.0,0.81,50,False,ROTEADOR
1067,2026-01-11,tec_04,Oeste,auditoria,True,,0.0,0.96,62,False,ROTEADOR
1068,2025-10-15,tec_02,Centro,auditoria,True,,0.0,0.74,50,False,CABO
1069,2026-02-26,tec_08,Norte,reparo,True,,0.0,0.92,79,False,ROTEADOR
1070,2025-10-10,tec_11,Norte,reparo,True,,0.0,0.9,52,False,ROTEADOR
1071,2026-04-18,tec_10,Norte,reparo,True,,0.0,0.85,54,False,ROTEADOR
1072,2025-07-21,tec_08,Leste,reparo,False,identificacao_porta,669.72,0.63,200,False,ONU
1074,2026-01-26,tec_02,Oeste,reparo,True,,0.0,0.96,56,False,ROTEADOR
1075,2025-08-15,tec_09,Oeste,reparo,True,,0.0,0.99,60,False,ONU
1076,2025-10-05,tec_08,Norte,auditoria,True,,0.0,0.86,63,False,ONU
1077,2026-06-23,tec_05,Sul,instalacao,True,,0.0,0.9,86,True,ONU
1079,2025-11-17,tec_05,Sul,auditoria,True,,0.0,0.85,64,False,ROTEADOR
1080,2025-09-08,tec_09,Oeste,auditoria,True,,0.0,0.94,61,False,ROTEADOR
1081,2026-04-27,tec_05,Centro,instalacao,True,,0.0,0.96,63,False,ROTEADOR
1082,2025-12-12,tec_07,Leste,auditoria,False,identificacao_porta,0.0,0.43,142,True,ROTEADOR
1083,2026-05-30,tec_07,Oeste,reparo,True,,0.0,0.73,67,False,CABO
1084,2026-02-19,tec_02,Leste,reparo,True,,0.0,0.96,44,True,ROTEADOR
1085,2025-12-16,tec_07,Leste,auditoria,False,identificacao_porta,0.0,0.51,187,False,ROTEADOR
1086,2025-11-25,tec_04,Centro,instalacao,True,,0.0,0.84,41,False,ROTEADOR
1087,2025-07-24,tec_05,Norte,auditoria,True,,0.0,0.82,62,True,CABO
1088,2025-08-10,tec_03,Centro,auditoria,True,,0.0,0.91,66,False,ONU
1089,2026-06-07,tec_05,Sul,auditoria,False,ancoragem_cabo,332.52,0.8,134,False,ROTEADOR
1090,2025-12-02,tec_12,Leste,reparo,True,,0.0,0.86,50,False,ONU
1091,2026-06-03,tec_05,Leste,auditoria,True,,0.0,0.96,84,False,ONU
1092,2025-11-24,tec_08,Norte,auditoria,True,,0.0,0.94,49,False,ROTEADOR
1093,2025-09-09,tec_11,Centro,auditoria,False,identificacao_porta,631.83,0.66,183,True,ROTEADOR
1094,2026-04-03,tec_03,Leste,reparo,True,,0.0,0.86,52,False,ONU
1095,2025-12-21,tec_05,Leste,reparo,True,,0.0,0.74,83,False,ROTEADOR
1096,2026-01-19,tec_06,Oeste,auditoria,True,,0.0,0.85,78,False,ONU
1097,2025-10-28,tec_06,Leste,auditoria,False,identificacao_porta,0.0,0.82,172,True,ONU
1098,2025-09-10,tec_11,Oeste,reparo,True,,0.0,1.0,42,False,ONU
1099,2026-06-22,tec_06,Centro,reparo,True,,0.0,0.93,44,False,ROTEADOR
1100,2025-11-21,tec_07,Norte,auditoria,True,,0.0,0.84,50,False,CABO
1101,2026-05-27,tec_09,Norte,reparo,True,,0.0,0.77,42,False,CABO
1102,2025-07-11,tec_11,Oeste,instalacao,True,,0.0,1.0,85,False,ROTEADOR
1103,2025-10-28,tec_04,Norte,auditoria,True,,0.0,0.97,35,False,ROTEADOR
1104,2025-08-26,tec_05,Sul,auditoria,True,,0.0,0.72,85,False,ROTEADOR
1105,2026-02-01,tec_05,Centro,instalacao,True,,0.0,0.85,84,False,ONU
1106,2025-07-23,tec_04,Centro,auditoria,False,identificacao_porta,0.0,0.66,93,True,CABO
1107,2026-06-30,tec_11,Oeste,reparo,True,,0.0,0.74,73,False,ONU
1108,2025-12-14,tec_10,Sul,auditoria,True,,0.0,0.8,67,False,ROTEADOR
1109,2026-04-09,tec_11,Norte,instalacao,True,,0.0,0.85,49,False,ROTEADOR
1110,2025-12-08,tec_02,Oeste,auditoria,True,,0.0,0.76,65,True,ONU
1111,2025-09-05,tec_12,Norte,instalacao,True,,0.0,0.88,56,False,ROTEADOR
1112,2025-07-27,tec_07,Oeste,auditoria,True,,0.0,0.82,71,False,CABO
1114,2026-06-02,tec_01,Centro,auditoria,True,,0.0,0.77,79,False,ROTEADOR
1116,2025-07-27,tec_10,Leste,reparo,False,identificacao_porta,569.61,0.33,167,False,ROTEADOR
1117,2025-08-26,tec_02,Leste,auditoria,False,ancoragem_cabo,318.58,0.57,166,True,ONU
1118,2025-11-26,tec_03,Sul,instalacao,True,,0.0,0.93,46,False,ROTEADOR
