vistoria_id,data,tecnico,regiao,tipo,conforme,causa,multa_valor,checklist_score,tempo_minutos,reincidencia,equipamento
4821,2026-03-01,tec_07,Sul,instalacao,True,,0,0.95,45,False,ONU
4822,2026-03-01,tec_03,Norte,reparo,False,identificacao_porta,150.0,0.62,78,True,ROTEADOR
4823,2026-03-02,tec_07,Sul,instalacao,True,,0,0.88,52,False,ONU
4824,2026-03-02,tec_07,Sul,auditoria,False,ancoragem_cabo,200.0,0.45,120,True,CABO
4825,2026-03-03,tec_02,Oeste,instalacao,True,,0,0.91,38,False,ONU
4826,2026-03-03,tec_03,Norte,reparo,False,vedacao_cto,150.0,0.58,95,False,ROTEADOR
4827,2026-03-04,tec_05,Leste,instalacao,True,,0,0.93,42,False,ONU
4828,2026-03-04,tec_05,Leste,reparo,False,identificacao_porta,150.0,0.51,110,True,ROTEADOR
4829,2026-03-05,tec_07,Sul,auditoria,True,,0,0.87,55,False,CABO
4830,2026-03-05,tec_02,Oeste,instalacao,False,sobra_fibra,300.0,0.41,130,True,ONU
4831,2026-03-06,tec_03,Norte,instalacao,True,,0,0.94,40,False,ONU
4832,2026-03-06,tec_09,Leste,reparo,False,ancoragem_cabo,200.0,0.48,105,False,ROTEADOR
4833,2026-03-07,tec_05,Leste,auditoria,True,,0,0.89,60,False,CABO
4834,2026-03-07,tec_07,Sul,instalacao,False,identificacao_porta,150.0,0.53,85,True,ONU
4835,2026-03-08,tec_02,Oeste,reparo,True,,0,0.90,50,False,ROTEADOR
4836,2026-03-08,tec_03,Norte,auditoria,False,documentacao,150.0,0.56,90,False,CABO
4837,2026-03-09,tec_11,Centro,instalacao,True,,0,0.92,35,False,ONU
4838,2026-03-09,tec_05,Leste,reparo,False,vedacao_cto,300.0,0.39,140,True,ROTEADOR
4839,2026-03-10,tec_07,Sul,auditoria,True,,0,0.86,58,False,CABO
4840,2026-03-10,tec_02,Oeste,instalacao,False,identificacao_porta,200.0,0.44,115,False,ONU
